treatment,bacteria,soil,replicate,nodes,mass_mg
N_Ma,No,Martian,11,0,12
N_Ma,No,Martian,12,0,14
N_Ma,No,Martian,13,0,9
N_Ma,No,Martian,14,0,10
N_Ma,No,Martian,15,0,9
N_Ma,No,Martian,16,0,6
N_Ma,No,Martian,17,0,14
N_Ma,No,Martian,18,0,10
N_Ma,No,Martian,19,0,14
N_Ma,No,Martian,20,0,11
N_Ma,No,Martian,21,0,10
N_Ma,No,Martian,22,0,10
N_Ma,No,Martian,23,0,6
N_Ma,No,Martian,24,0,11
N_Ma,No,Martian,25,0,11
N_Ma,No,Martian,26,0,5
N_Ma,No,Martian,27,0,13
N_Ma,No,Martian,28,0,9
N_Ma,No,Martian,29,0,3
N_Ma,No,Martian,30,0,12
N_Ma,No,Martian,31,0,8
N_Ma,No,Martian,32,0,7
N_Ma,No,Martian,33,1,12
N_Ma,No,Martian,34,0,10
N_Ma,No,Martian,35,0,14
N_Ma,No,Martian,36,0,12
N_Ma,No,Martian,37,0,13
N_Ma,No,Martian,38,0,10
N_Ma,No,Martian,39,0,6
N_Ma,No,Martian,40,0,2
N_Ma,No,Martian,41,0,10
N_Ma,No,Martian,42,0,11
N_Ma,No,Martian,43,0,13
N_Ma,No,Martian,44,0,11
N_Ma,No,Martian,45,0,10
N_Ma,No,Martian,46,0,11
N_Ma,No,Martian,47,0,9
N_Ma,No,Martian,48,0,8
N_Ma,No,Martian,49,0,13
N_Ma,No,Martian,50,0,5
N_Ma,No,Martian,51,0,5
N_Ma,No,Martian,52,0,7
N_Ma,No,Martian,53,0,14
N_Ma,No,Martian,54,0,8
N_Ma,No,Martian,55,0,11
N_Ma,No,Martian,56,0,13
N_Ma,No,Martian,57,0,9
N_Ma,No,Martian,58,0,11
N_Ma,No,Martian,59,0,4
N_Ma,No,Martian,60,0,10
Y_Sa,Yes,Sand,1,9,18
Y_Sa,Yes,Sand,2,9,20
Y_Sa,Yes,Sand,3,7,22
Y_Sa,Yes,Sand,4,13,19
Y_Sa,Yes,Sand,5,9,25
Y_Sa,Yes,Sand,6,8,16
Y_Sa,Yes,Sand,7,5,17
Y_Sa,Yes,Sand,8,8,27
Y_Sa,Yes,Sand,9,5,14
Y_Sa,Yes,Sand,10,9,22
Y_Sa,Yes,Sand,11,12,15
Y_Sa,Yes,Sand,12,11,22
Y_Sa,Yes,Sand,13,6,11
Y_Sa,Yes,Sand,14,9,10
Y_Sa,Yes,Sand,15,14,18
Y_Sa,Yes,Sand,16,13,19
Y_Sa,Yes,Sand,17,15,14
Y_Sa,Yes,Sand,18,8,20
Y_Sa,Yes,Sand,19,9,12
Y_Sa,Yes,Sand,20,8,23
Y_Sa,Yes,Sand,21,7,20
Y_Sa,Yes,Sand,22,12,26
Y_Sa,Yes,Sand,23,11,20
Y_Sa,Yes,Sand,24,16,26
Y_Sa,Yes,Sand,25,9,28
Y_Sa,Yes,Sand,26,8,21
Y_Sa,Yes,Sand,27,9,21
Y_Sa,Yes,Sand,28,12,22
Y_Sa,Yes,Sand,29,6,21
Y_Sa,Yes,Sand,30,11,13
Y_Sa,Yes,Sand,31,9,23
Y_Sa,Yes,Sand,32,7,9
Y_Sa,Yes,Sand,33,11,16
Y_Sa,Yes,Sand,34,15,21
Y_Sa,Yes,Sand,35,13,20
Y_Sa,Yes,Sand,36,14,21
Y_Sa,Yes,Sand,37,12,26
Y_Sa,Yes,Sand,38,13,15
Y_Sa,Yes,Sand,39,12,24
Y_Sa,Yes,Sand,40,11,16
Y_Sa,Yes,Sand,41,15,20
Y_Sa,Yes,Sand,42,11,27
Y_Sa,Yes,Sand,43,13,16
Y_Sa,Yes,Sand,44,12,16
Y_Sa,Yes,Sand,45,7,18
Y_Sa,Yes,Sand,46,14,16
Y_Sa,Yes,Sand,47,5,23
Y_Sa,Yes,Sand,48,12,19
Y_Sa,Yes,Sand,49,14,24
Y_Sa,Yes,Sand,50,11,15
Y_Sa,Yes,Sand,51,9,15
Y_Sa,Yes,Sand,52,10,16
Y_Sa,Yes,Sand,53,8,15
Y_Sa,Yes,Sand,54,6,20
Y_Sa,Yes,Sand,55,12,22
Y_Sa,Yes,Sand,56,12,24
Y_Sa,Yes,Sand,57,11,22
Y_Sa,Yes,Sand,58,8,15
Y_Sa,Yes,Sand,59,4,14
Y_Sa,Yes,Sand,60,10,21
Y_Sa,Yes,Sand,61,12,17
Y_Sa,Yes,Sand,62,8,19
Y_Sa,Yes,Sand,63,8,17
Y_Sa,Yes,Sand,64,5,28
Y_Sa,Yes,Sand,65,10,21
Y_Sa,Yes,Sand,66,12,20
Y_Sa,Yes,Sand,67,12,18
Y_Sa,Yes,Sand,68,7,17
Y_Sa,Yes,Sand,69,6,17
Y_Sa,Yes,Sand,70,11,25
